FTW:Fort Worth:US:33.5:-97.9:271
FVHF:Harare:ZW:-19.1:29.1:235
FWLL:Lilongwe:MW:-12.8:34.2:236
FYWH:Windhoek:NA:-22.3:17.6:237
FZZA:Kinshasa:CD:-3.4:21.6:238
FZZA_K:Kinshasa:CD:2.01:26.33:4501
FZZA_L:Kinshasa:CD:-6.38:25.23:4502
GCCC:Canarias:ES:25.3:-17.2:163
GCCC_L:Canarias:ES:28.3:-16.6:164
GCCO_O:Canarias Radio:ES:24.5:-17.2:165
GLRB:Roberts:LR:6.7:-12.2:241
GMMM:Casablanca:MA:31.8:-8.4:242
GOOO:Dakar Control:SN:12.7:-12:243
GOOC:Dakar Oceanic:SN:12.7:-12:244
GULF:Gulf Control::26:47:3000
GULF_E:Gulf EAST Control::30:54:3001
GULF_W:Gulf WEST Control::25.5:40:3002
GVSC:Sal Oceanic:CV:18.4:-28.8:245
HAAA:Addis Ababa:ET:9.4:40.5:246
HBBA:Bujumbura:BI:-3.4:29.9:247
HCSM:Mogadishu:SO:5:50.5:248
HECC:Cairo:EG:28:31:249
HHAA:Asmara:ER:16.1:39.8:250
HKNA:Nairobi:KE:-0.4:38.9:251
HLLL:Tripoli:LY:26.9:17.2:252
HNL:Honolulu:US:21.6:-157:267
HOU:Houston:US:29:-97:276
HRYR:Kigali:RW:-2:29.8:253
HSSS:Khartoum:SD:13:30.1:254
HTDC:Dar Es Salaam:TZ:-6.8:36.5:255
HTDC_W:Dar Es Salaam:TZ:4.35:30.5:4508
HUEC:Entebbe:UG:1.2:32.3:256
IND:Indianapolis:US:38.5:-84.4:278
JAX:Jacksonville:US:31.1:-82.2:262
KC:Kansas City:US:38.1:-95.4:272
MCI:Kansas City:US:38.1:-95.4:272
KZAB:Albuquerque:US:33.2:-107:257
KZAU:Chicago:US:42.1:-89.2:260
KZBW:Boston:US:43.8:-71.9:259
KZDC:Washington:US:36.4:-76.8:281
KZDV:Denver:US:40.4:-105.4:270
KZFW:Fort Worth:US:33.5:-97.9:271
KZHU:Houston:US:29:-97:276
KZHU_O:Houston Oceanic:US:26:-92:277
KZID:Indianapolis:US:38.5:-84.4:278
KZJX:Jacksonville:US:31.1:-82.2:262
KZKC:Kansas City:US:38.1:-95.4:272
KZLA:Los Angeles:US:34.3:-117.4:273
KZLC:Salt Lake City:US:43.2:-111.4:275
KZMA:Miami:US:27:-82:264
KZMA_O:Miami Oceanic:US:22.8:-72.4:263
KZME:Memphis:US:34.6:-90.5:279
KZMP:Minneapolis:US:44.2:-92.7:274
KZNY:New York:US:41:-77:266
KZWY:New York Oceanic:US:31.5:-58.5:265
KZOA:Oakland:US:37.9:-122.1:269
KZAK:San Francisco Radio:US:30.75:-120.83:268
KZOB:Cleveland:US:41.5:-80.9:261
KZSE:Seattle:US:44.6:-121.4:280
KZTL:Atlanta:US:34.3:-84.1:258
LAAA:Tirana:AL:41.1:20.1:152
LATI:Tirana:AL:41.1:20.1:152
LAX:Los Angeles:US:34.3:-117.4:273
LA:Los Angeles:US:34.3:-117.4:273
LBSR:Sofia:BG:42.8:26.4:6760
LBSR_E:Sofia:BG:43.1:28.1:154
LBSR_W:Sofia:BG:42.8:24.4:153
LBWR:Varna:BG:43.1:28.1:154
LCCC:Nicosia:CY:34:32.9:155
LDZO:Zagreb:HR:44.0:15.5:156
LECB:Barcelona:ES:40.8:1.40:157
LECL:Valencia:ES:39:-0.3:1571
LECM:Madrid:ES:41.4:-4.1:160
LECP:Palma:ES:39.4:2.5:162
LECS:Sevilla:ES:37.5:-3.4:161
LFBB:Bordeaux:FR:44.7:0.6:1768
LFEE:Reims:FR:47.9:6.2:1769
LFFF:Paris:FR:48.7:2.8:1770
LFFM:France Military:FR:46.75:3:1774
LFMM:Marseille:FR:45.6:5:1771
LFRR:Brest:FR:46.7:-4.2:1772
LFUB:Bordeaux Upper:FR:44.4:0.6:1768
LFUE:Reims Upper:FR:47.6:6.2:1769
LFUM:Marseille Upper:FR:45.3:5:1771
LFUP:France Upper:FR:47:3:1773
LFUR:Brest Upper:FR:46.4:-4.2:1772
LGGG:Athens:GR:36.70:24.55:1503
LGGG-E:Athens:GR:35.20:27.50:1504
LGGG-W:Athens:GR:37.09:20.66:1505
LGMD:Makedonia Control:GR:39.70:24.00:1506
LHCC:Budapest:HU:47.2:19.5:170
LIBB:Brindisi:IT:40.1:16.8:5315
LIMM:Milano:IT:44.9:8.9:5316
LIPP:Padova:IT:45.4:11.9:5317
LIRR:Roma:IT:40.2:12.1:5318
LIUP:Italy:IT:40:13:5999
LJLA:Ljubljana:SI:46.2:15:178
LKAA:Prague:CZ:49.8:15.6:179
LLLL:Tel Aviv:IL:31.3:34.8:180
LLPT:Pluto:IL:31.7:34.8:180
LLSC:South:IL:30.9:34.7:530
LMMM:Malta:MT:35.42:15.5:181
LOVV:Wien:AT:47.7:14:182
LOVV_N:Wien:AT:48.3:15:1821
LOVV_S:Wien:AT:47:14:1822
LPPC:Lisboa:PT:40:-9:1830
LPPC_C:Lisboa CENTER:PT:38.75:-8:1831
LPPC_D:Lisboa DEMOS:PT:41:-12:1832
LPPC_I:Lisboa MADEIRA:PT:34.36:-14.85:1833
LPPC_N:Lisboa NORTH:PT:40.75:-8:1834
LPPC_S:Lisboa SOUTH:PT:36.75:-8.85:1835
LPPC_V:Lisboa VERAM:PT:37.64:-11.84:1836
LPPC_W:Lisboa WEST:PT:37.64:-14:1837
LPPO:Santa Maria Radio:PT:33:-28:1838
LPPO_CTR:Santa Maria Radar:PT:39:-30:1839
LPAM:Lisboa Military:PT:41:-9:1830
LQSB:Sarajevo:BA:43.9:17.8:185
LRBB:Bucharest:RO:45.9:25.6:186
LRUB:Black Sea West:RO:45:25.6:1861
LSAG:Swiss GVA (West):CH:46.6:6.5:1871
LSAS:Swiss:CH:46.9:8.4:187
LSAZ:Swiss ZRH (East):CH:46.9:8.4:1872
LTAA:Ankara:TR:39.4:37.2:190
LTBB:Ankara:TR:39.4:28:191
LTUP:Turkiye Upper Control:TR:39.4:33.3:1911
LUUU:Chisinau:MD:47:28.3:477
LWSS:Skopje:MK:41.6:21.8:192
LYBA:Beograd:YU:43.7:20.2:193
LZBB:Bratislava:SK:48.8:19.7:194
MDCS:Santo Domingo:DO:18.2:-70:282
MEM:Memphis:US:34.6:-90.5:279
MHCC:Central America:HN:11:-93.3:283
MIA:Miami:US:27:-82:264
MKJK:Kingston:JM:17.5:-77.7:284
ML-ASP:Alice Springs 128.85:AU:-30:130:1179
ML-ASW:Alice Springs West 131.8*(128.85):AU:-24.5:130:1238
ML-AUG:Augusta 127.05*(125.3):AU:-33:136:1195
ML-BIK:Bindook:AU:-34.25:149.5:1198
ML-BLA:Benalla 132.2*(123.75):AU:-35.75:146.5:1200
ML-BKE:Bourke 128.2*(125.3):AU:-31.5:143:1181
ML-CRS:Cross 135.8*(133.9):AU:-30.5:119:1203
ML-ELW:Eildon Weir 123.75:AU:-37:145.5:1205
ML-ESP:Esperance 123.95*(133.9):AU:-31.9:117.9:1183
ML-FOR:Forest 132.7*(128.85):AU:-34:131:1207
ML-GEL:Geraldton 134.2*(133.9):AU:-28:114.5:1208
ML-GVE:Grove 133.8*(133.9):AU:-29:118:1210
ML-GTH:Griffith 122.75*(129.8):AU:-33.75:146.25:1211
ML-HYD:Hyden 118.2*(133.9):AU:-32.5:119:1213
ML-IND:Brisbane Radio(Indian)129.25:AU:-28:95:1185
ML-INE:Brisbane Radio(Indian East)123.65*(129.25):AU:-15:110:1214
ML-INS:Brisbane Radio(Indian South)123.2*(129.25):AU:-49:149:1215
ML-JAR:Jarrah 120.3*(133.9):AU:-34:117:1216
ML-KAT:Katomba 133.5*(129.8):AU:-33.25:149:1199
ML-LEA:Leeman 122.4*(133.9):AU:-31:114:1220
ML-MTK:Mount 133.7*(134.0):AU:-27:120:1222
ML-MUN:Mungo 132.6*(125.3):AU:-35.5:142.5:1223
ML-MZI:Menzies 134.3*(133.9):AU:-29.5:122:1239
ML-NEW:Newman 125.4*(134.0):AU:-23:121:1184
ML-OLW:Onslow 134.0:AU:-23:117:1230
ML-OXL:Oxley 128.5*(125.3):AU:-34.5:145:1225
ML-PAR:Paraburdoo 133.5*(134.0):AU:-23.3:116.5:1240
ML-PIY:Pingelly 133.9:AU:-31.5:116.5:1226
ML-POT:Port 127.0*(134.0):AU:-19.5:119:1241
ML-SNO:Snowy 124.0*(123.75):AU:-38:146:1188
ML-TAS:Tasmania 123.8:AU:-41:146.5:1189
ML-TBD:Tailem Bend 125.3:AU:-34.25:139:1190
ML-WAR:MWarburton 124.9*(128.85):AU:-26:126.5:1231
ML-WOL:Wollongong 125.0*(129.8):AU:-35.2:150.7:1180
ML-WON:Wonthaggi 135.3*(123.75):AU:-38.5:146:1233
ML-WRA:Woomera 132.9*(128.85):AU:-30:139.5:1234
ML-YWE:Yarrowee 134.32*(123.75):AU:-37:143.5:1235
MMEX:Mexico:MX:18.5:-100.5:483
MMID:Merida:MX:18:-95.2:484
MMTY:Monterrey:MX:27.3:-100.8:485
MMZT:Mazatlan:MX:24.4:-111.9:487
MMZT_O:Mazatlan Oceanic:MX:13.5:-116.9:486
MPZL:Panama:PA:9.7:-80.2:285
MSP:Minneapolis:US:44.2:-92.7:274
MTEG:Port Au Prince:HT:18.7:-73.4:286
MUFH:Havana:CU:21.2:-79.7:287
MUHA:Havana:CU:21.2:-79.7:287
MYNN:Nassau:BS:24.7:-77.5:288
NFFF:Nadi Oceanic:FJ:-13.3:175:289
NFFN:Nadi Center:FJ:-19:177.5:2890
NTTT:Tahiti Radio:PF:-13.3:-138.5:290
NSFA:Faleolo:WS:-15:-167:291
NVVV:Port Vila:VU:-15.5:168.5:2892
NWWN:Noumea:NC:-19.5:165.2:5724
NY:New York:US:41:-77:266
