010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
013780        LILLEHAMMER-SAETHER NO 6106N 01029E 0242   
013790        SOR-NESSET          NO 6153N 01009E 0739   
013800        VENABU              NO 6139N 01007E 0940   
013830        EVENSTAD-OVERENGET  NO 6124N 01109E 0255   
013840 ENGM   OSLO/GARDERMOEN     NO 6012N 01105E 0204   
013890        HAUGEDALSHOGDA      NO 6110N 01127E 0240   
013910        FLISA               NO 6037N 01201E 0188   
013930        DREVSJO             NO 6153N 01203E 0674   
014000        EKOFISK             NO 5632N 00313E 0046   
014030        UTSIRA (LGT-H)      NO 5918N 00453E 0056   
014033 ENEK   EKOFISK OIL PLTFRM  NO 5633N 00315E 0003   
014060        SLATTEROY (LGT-H)   NO 5955N 00504E 0016   
014080 ENHD   HAUGESUND/KARMOY  & NO 5921N 00513E 0024   
014120        OBRESTAD (LGT-H)    NO 5839N 00533E 0026   
014150 ENZV   STAVANGER/SOLA(AFB) NO 5853N 00538E 0009   
014170        NEDRE VATS          NO 5929N 00545E 0065   
014230        FISTER              NO 5911N 00604E 0001   
014240        SAUDA               NO 5939N 00622E 0005   
014250        UALAND-BJULAND      NO 5833N 00621E 0200   
014270        LISTA (LGT-H)       NO 5807N 00634E 0014   
014280 ENLI   LISTA/FARSUND (AFB) NO 5806N 00638E 0010   
014320        SIRDAL-TJORHOM      NO 5853N 00651E 0500   
014330        MIDTLAEGER          NO 5950N 00659E 1082   
014350        HAUKELISAETER/BROYT NO 5949N 00713E 1019   
014360        LINDESNES (LGT-H)   NO 5759N 00703E 0023   
014390        KONSMA HAEGELAND    NO 6112N 00814E 0864   
014420        BYGLANDSFJORD-SOLBA NO 5840N 00748E 0211   
014460        OYFJELL I TELEMARK  NO 5938N 00816E 0804   
014480        OKSOY (LGT-H)       NO 5804N 00803E 0008   
014500        MOSSTRAND II        NO 5950N 00811E 0977   
014520 ENCN   KRISTIANSAND/KJEVIK NO 5812N 00805E 0017   
014550        TVEITSUND           NO 5902N 00831E 0255   
014590        NELAUG              NO 5839N 00838E 0161   
014650        TORUNGEN (LGT-H)    NO 5824N 00848E 0015   
014670        LYNGOR (LGT-H)      NO 5838N 00909E 0007   
014700        GVARV               NO 5923N 00911E 0025   
014703 ENNO   NOTODDEN            NO 5934N 00913E 0019   
014740        LYNGDAL I NUMEDAL   NO 5954N 00932E 0294   
014750 ENSN   SKIEN/GEITERYGGEN   NO 5911N 00934E 0014   
014760        JOMFRULAND (LGT-H)  NO 5852N 00936E 0012   
