010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
483510 VTPU   UTTARADIT EAST      TH 1737N 10006E 0064   
483520 VTUM   NONG KHAI           TH 1752N 10243E 0175   
483530 VTUL   LOEI                TH 1727N 10144E 0254   
483540 VTUD   UDON THANI(CIV/AFB) TH 1723N 10248E 0182   
483560 VTUS   SAKON NAKHON (ARMY) TH 1709N 10408E 0172   
483570 VTUP   NAKHON PHANOM       TH 1725N 10447E 0148   
483750 VTPM   MAE SOT/TAK         TH 1640N 09833E 0197   
483760 VTPT   TAK                 TH 1653N 09909E 0124   
483770        BHUMIBOL DAM        TH 1715N 09901E 0144   
483780 VTPS   PHITSANULOK/SARIT   TH 1647N 10016E 0045   
483790        PHETCHABUN          TH 1626N 10109E 0116   
483795 VTPL   LOM SAK (THAI-AFB)  TH 1649N 10115E 0152   
483800        KAM PAENG PHET      TH 1629N 09932E 0081   
483810 VTUK   KHON KAEN           TH 1626N 10250E 0166   
483830 VTUB   MUKDAHAN/BAKHON PHA TH 1632N 10443E 0139   
484000 VTPN   NAKHON SAWAN/PAKNAM TH 1548N 10010E 0035   
484030 VTUC   CHAIYAPHUM          TH 1548N 10202E 0183   
484050 VTUR   ROI ET              TH 1603N 10341E 0142   
484070 VTUU   UBON/RATCHATHANI AB TH 1515N 10452E 0127   
484130        WICHIAN BURI        TH 1538N 10107E 0069   
484160        THA TUM             TH 1519N 10341E 0129   
484180        BUA CHUM            TH 1516N 10111E 0050   
484210        THONG PHA PHUM      TH 1445N 09838E 0099   
484250        SUPHAN BURI         TH 1428N 10008E 0008   
484260        LOP BURI            TH 1448N 10037E 0011   
484266 VTBL   KOKE KATHIEM (MIL)  TH 1453N 10040E 0030   
484300 VTBI   PRACHIN BURI (ARMY) TH 1403N 10122E 0006   
484310 VTUN   KORAT/NAKHON RATCHA TH 1458N 10205E 0188   
484320        SURIN               TH 1453N 10330E 0147   
484500 VTBG   KANCHANABURI        TH 1401N 09932E 0029   
484503 VTBK   KAMPHAENG SAEN(AB)& TH 1406N 09955E 0009   
484540        BANGKOK             TH 1342N 10034E 0006   
484550        BANGKOK             TH 1344N 10034E 0020   
484560 VTBD   BANGKOK/DON MUANG   TH 1355N 10036E 0012   
484570        BANGKOK PILOT       TH 1323N 10036E 0015   
484590 VTBS   CHON BURI/SATTAHIP  TH 1322N 10059E 0002   
484600        KO SICHANG (ISLAND) TH 1310N 10048E 0026   
484610        PHATTHAYA           TH 1255N 10052E 0061   
484620        ARANYAPRATHET       TH 1342N 10235E 0049   
484630        LAEMCHABWNG         TH 1505N 10053E 0082   
484650 VTBJ   PHETCHABURI/THA YAN TH 1309N 10004E 0004   
484750 VTPH   HUA HIN             TH 1235N 09957E 0006   
484770        SATTAHIP            TH 1241N 10059E 0018   
484780 VTBU   RAYONG/U-TAPHAO   & TH 1238N 10121E 0005   
484800 VTBC   CHANTHABURI         TH 1236N 10207E 0004   
485000 VTBP   PRACHUAP KHIRI KHAN TH 1150N 09950E 0005   
485010        KHLONG YAI          TH 1146N 10253E 0004   
485170 VTSD   CHUMPHON            TH 1029N 09911E 0005   
485320 VTSR   RANONG              TH 0959N 09837E 0008   
485500        KO SAMUI (ISLAND)   TH 0928N 10003E 0007   
485510 VTSB   SURAT THANI         TH 0907N 09921E 0011   
485520 VTSN   NAKHON SI THAMMARAT TH 0828N 09958E 0009   
485530        KHANOM              TH 0915N 09952E 0005   
485610        TAKUA PA            TH 0851N 09816E 0004   
485630        KRABI               TH 0804N 09855E 0008   
485640        PHUKET              TH 0753N 09824E 0003   
485650 VTSP   PHUKET INTL AIRPORT TH 0807N 09819E 0010   
485660        KO LANTA (ISLAND)   TH 0732N 09903E 0003   
485670 VTST   TRANG               TH 0731N 09937E 0016   
485680 VTSH   SONGKHLA(THAI-NAVY) TH 0712N 10036E 0005   
485690 VTSS   HAT YAI INTL (AFB)& TH 0655N 10026E 0035   
485700 VTSA   SATUN (THAI-AFB)    TH 0639N 10005E 0006   
485800 VTSK   PATTANI             TH 0647N 10109E 0009   
485830        NARATHIWAT          TH 0625N 10149E 0005   
486000 WMKL   LANGKAWI INTL ARPT  MS 0620N 09944E 0007   
486010 WMKP   PENANG/BAYAN LEPAS  MS 0518N 10016E 0004   
486020 WMKB   BUTTERWORTH(AUS-AB) MS 0528N 10023E 0004   
486030 WMKA   ALOR SETAR(CIV/MIL) MS 0612N 10024E 0005   
486150 WMKC   KOTA BHARU/SULTAN P MS 0610N 10217E 0005   
486160        KUALA KRAI          MS 0532N 10212E 0065   
486180 WMKN   KUALA TRENGGANU     MS 0523N 10306E 0006   
486200 WMBA   SITIAWAN            MS 0413N 10042E 0008   
486250 WMKI   IPOH                MS 0434N 10106E 0039   
486470 WMKK   KUALA LUMPUR/SUBANG MS 0307N 10133E 0022   
486480        PETALING JAYA       MS 0306N 10139E 0057   
486485 WMKF   SIMPANG (AFB)       MS 0307N 10142E 0034   
486570 WMKD   KUANTAN (AFB)       MS 0347N 10313E 0016   
486650 WMKM   MALACCA             MS 0216N 10215E 0009   
486740 WMAU   MERSING             MS 0227N 10350E 0045   
486790 WMKJ   JOHORE BHARU/SENAI  MS 0138N 10340E 0040   
486870 WSAT   SINGAPORE/TENGAH AB SR 0123N 10343E 0012   
486920 WSSL   SINGAPORE/SELETAR   SR 0125N 10353E 0014   
486940 WSAP   SINGAPORE/PAYALEBAR SR 0122N 10355E 0032   
486980 WSSS   SINGAPORE/CHANGI    SR 0122N 10359E 0016   
488030        LAO CAI             VS 2230N 10358E 0112   
488080        CAO BANG            VS 2240N 10615E 0260   
488100        BAC CAN             VS 2209N 10550E 0176   
488193 VVGL   HANOI/GIALAM        VS 2102N 10551E 0012   
488200 VVNB   HANOI/NOIBAI INTL   VS 2101N 10548E 0006   
488230        NAM DINH            VS 2026N 10609E 0003   
488260        PHU LIEN            VS 2048N 10638E 0119   
488300        LANG SON            VS 2150N 10646E 0258   
488310        THAI NGUYEN         VS 2136N 10550E 0032   
488380        MONG CAI            VS 2131N 10758E 0007   
488390        BACH LONGVI         VS 2008N 10743E 0060   
488400        THANH HOA           VS 1948N 10547E 0007   
488450 VVVH   VINH                VS 1842N 10540E 0006   
488460        HA TINH             VS 1821N 10554E 0003   
488480        DONG HOI            VS 1731N 10635E 0008   
488520 VVPB   HUE/PHUBAI          VS 1624N 10741E 0017   
488550 VVDN   DA NANG INTL ARPT & VS 1602N 10811E 0007   
488660 VVPK   PLEIKU CITY         VS 1359N 10800E 0801   
488700 VVQN   QUI NHO'N           VS 1346N 10913E 0006   
488730        TUY-HOA             VS 1305N 10917E 0011   
488750        BANMETHUOT          VS 1241N 10805E 0537   
488770 VVNT   NHA TRANG           VS 1215N 10912E 0010   
488870        PHAN THIET          VS 1056N 10806E 0008   
488920        SONG TU TAY(CAY)    VS 1125N 11420E 0005   
489000 VVTS   HO CHI MINH/TANSONN VS 1049N 10640E 0019   
489043 VVVT   VUNG TAU          & VS 1022N 10704E 0004   
489070        RACH GIA            VS 1000N 10505E 0003   
489100        VINH LONG           VS 1015N 10557E 0003   
489130        BA-XUYEN/SOC TRANG  VS 0936N 10558E 0005   
489140        CA MAU (POINT)      VS 0910N 10510E 0003   
489170        PHU QUOC            VS 1013N 10358E 0003   
489180        CON SO'N            VS 0842N 10635E 0005   
489200        TRUONG SA           VS 0839N 11155E 0003   
489235 VLHS   BAN HOUAYXAY/BAN HA LA 2015N 10026E 0421   
489250        OUDAMXAY            LA 2041N 10200E 0550   
489270        VIENGSAY            LA 2025N 10414E 0913   
489280 VLSN   SAM-NEUA            LA 2025N 10404E 1000   
489300 VLLB   LUANG-PRABANG       LA 1953N 10208E 0305   
489305 VLVV   VANG VIENG(CIV/MIL) LA 1855N 10227E 0296   
489350        PLAINE DES JARRES   LA 1928N 10308E 1050   
489360        PAKLAY              LA 1812N 10124E 0220   
489380 VLSB   SAYABOURY           LA 1914N 10144E 0326   
489400 VLVT   VIENTIANE/WATTAY    LA 1757N 10234E 0171   
489410        PHONHONG            LA 1828N 10224E 0179   
489460 VLTK   THAKHEK             LA 1723N 10439E 0052   
489470 VLSK   SAVANNAKHET(CV/MIL) LA 1633N 10445E 0155   
489520 VLSV   SARAVANE            LA 1541N 10625E 0168   
489550 VLIP   PAKSE (CIV/MIL)     LA 1507N 10547E 0102   
489570 VLAP   ATTOPEU             LA 1448N 10650E 0105   
489595 VLKG   MUANG KHONG         LA 1407N 10551E 0076   
489620 VDGB   BATTAMBANG          KP 1306N 10312E 0013   
489660 VDSR   SIEMREAP            KP 1322N 10351E 0015   
489680        KRAKOR              KP 1231N 10411E 0005   
489690 VDKH   KAMPONG CHHNANG     KP 1215N 10440E 0015   
489720 VDST   STUNG TRENG         KP 1331N 10558E 0056   
489820        KOS KONG            KP 1137N 10300E 0004   
489830        KOMPONG SOM (CITY)  KP 1038N 10329E 0015   
489850        KAMPOT              KP 1037N 10413E 0005   
489910 VDPP   PHNOM-PENH/POCHENTO KP 1133N 10451E 0010   
489950 VDKC   KOMPONG-CHAM        KP 1200N 10527E 0016   
489980        SVAY RIENG          KP 1105N 10548E 0006   
501360        MOHE                CI 5328N 12222E 0297   
502460        TA-HE               CI 5220N 12448E 0465   
503490        JIU-HAI-LAI         CI 5108N 12403E 0610   
503530        HUMA                CI 5143N 12639E 0179   
504250        SAN-HE              CI 5030N 12004E 0671   
504340        TULIHE              CI 5027N 12142E 0733   
504420        XIAO-YANG-QI        CI 5048N 12417E 0549   
504680        AIHUI               CI 5015N 12727E 0166   
505140        MAN-ZHOU-LI         CI 4933N 11728E 0710   
505270        HAILAR              CI 4913N 11945E 0611   
505480        XIAO'ERGOU          CI 4912N 12343E 0289   
505570        NENJIANG            CI 4910N 12514E 0243   
505640        SUNWU               CI 4926N 12721E 0235   
506030        XIN BARAG YOUQI     CI 4840N 11649E 0556   
506320        BUGT                CI 4846N 12155E 0739   
506560        LONG-ZHEN           CI 4839N 12640E 0305   
506580        KESHAN              CI 4803N 12553E 0237   
507270        ARXAN               CI 4710N 11957E 1028   
507420        SAN-CHEN-FANG       CI 4747N 12410E 0146   
507450 ZYQQ   QIQIHAR             CI 4723N 12355E 0148   
507560        HAILUN              CI 4726N 12658E 0240   
507580        MING-SHUI           CI 4715N 12553E 0259   
507740        YICHUN              CI 4743N 12854E 0232   
507750        HE-GANG             CI 4721N 13012E 0198   
507880        FUJIN               CI 4714N 13159E 0065   
508340        TE-PO-SU-K/-MIAO    CI 4630N 12122E 0427   
508440        TAILAI              CI 4624N 12325E 0150   
508530        WANG-KUI            CI 4650N 12629E 0158   
508540        ANDA                CI 4623N 12519E 0150   
508620        TIE-LI              CI 4704N 12802E 0264   
508770        YI-LAN              CI 4618N 12933E 0099   
508880        BAOQING             CI 4619N 13211E 0083   
509150        ULIASTAI            CI 4531N 11658E 0840   
509490        QIAN GORLOS         CI 4507N 12450E 0138   
509530        HARBIN              CI 4545N 12646E 0143   
509630        TONGHE              CI 4558N 12844E 0110   
509680        SHANGZHI            CI 4513N 12758E 0191   
509780        JIXI                CI 4517N 13057E 0234   
509830        HULIN               CI 4546N 13258E 0103   
510530        KABA HE             CI 4803N 08621E 0534   
510680        FUHAI/BURULTOKAY    CI 4706N 08723E 0472   
510760        ALTAY               CI 4744N 08805E 0737   
510870        FUYUN               CI 4659N 08931E 0827   
511330        TACHENG             CI 4644N 08300E 0535   
511560        HOBOKSAR            CI 4647N 08543E 1294   
511860        QINGHE/QINGGLI      CI 4643N 09024E 1463   
512320        PA-ERH-LU-K'O MTN   CI 4557N 08234E 1067   
512410        TO-LI               CI 4557N 08337E 2072   
512430        KARAMAY             CI 4536N 08451E 0428   
512880        BAYTIK SHAN (MTNS)  CI 4522N 09032E 1651   
513300        BOLE/BORTALA        CI 4455N 08204E 1366   
513340        JINGHE              CI 4437N 08254E 0321   
513460        KUYTUN              CI 4426N 08458E 0442   
513560        SHIHEZI             CI 4418N 08602E 0457   
513650        FUKANG              CI 4409N 08759E 0549   
513790        QITAI               CI 4401N 08934E 0794   
514310 ZWYN   YINING              CI 4357N 08120E 0663   
514370        ZHAOSU/MONGGOLKURE  CI 4310N 08107E 1830   
514630        URUMQI              CI 4347N 08737E 0919   
514635 ZWWW   URUM-QI/DIWOPU      CI 4354N 08728E 0654   
514670        BALGUNTAY           CI 4240N 08620E 1753   
514770        PAU-YANG-HU         CI 4312N 08828E 1037   
514950        QIJIAOJING          CI 4329N 09138E 0874   
514960        YIWANQUAN           CI 4323N 09206E 1890   
515260        CHUGIRTY            CI 4248N 08051E 2042   
515420        BAYANBULAK          CI 4302N 08409E 2459   
515670        YANQI               CI 4203N 08634E 1097   
515730        TURPAN              CI 4256N 08912E 0037   
515810        SHANSHAN/PIQAN      CI 4255N 09015E 0410   
516280        WEN-SU              CI 4116N 08014E 1286   
516330        BAICHENG/BAY        CI 4146N 08152E 1280   
516420        LUNTAI/BUGUR        CI 4147N 08410E 0883   
516440        KUQA                CI 4143N 08257E 1100   
516560        KORLA               CI 4145N 08608E 0933   
517010        SAI-K'O-LO-T'E-MA   CI 4027N 07523E 3651   
517050        AR-TUX              CI 3940N 07610E 1494   
517090 ZWSH   KASHI               CI 3928N 07559E 1291   
517110        AKQI                CI 4056N 07827E 1986   
517160        BACHU               CI 3948N 07834E 1117   
517200        CH'I-LAN-TAI        CI 4032N 07932E 1158   
517300        ALAR                CI 4030N 08103E 1013   
517650        TIKANLIK            CI 4038N 08742E 0847   
517770        RUOQIANG            CI 3902N 08810E 0889   
518110        SHACHE              CI 3826N 07716E 1232   
518180        PISHAN              CI 3737N 07817E 1376   
518280 ZWTN   HOTAN               CI 3708N 07956E 1375   
518390        MINFENG/NIYA        CI 3704N 08246E 1410   
518480        ANDIR               CI 3756N 08339E 1264   
518550        QIEMO/QARQAN        CI 3809N 08533E 1248   
518860        MANGNAI             CI 3815N 09051E 2945   
519310        YUTIAN/KERIYA       CI 3652N 08142E 1554   
521010        BARKOL              CI 4335N 09251E 1584   
521180        YIWU/ARATURUK       CI 4316N 09442E 1729   
522030 ZWHM   HAMI                CI 4249N 09331E 0739   
522670        EJIN QI             CI 4157N 10104E 0941   
523130        XING-XING-XIA       CI 4147N 09508E 1935   
523230        MAZONG SHAN (MOUNT) CI 4148N 09702E 1770   
523780        GUAIZIHU            CI 4122N 10222E 0960   
524180        DUNHUANG            CI 4009N 09441E 1140   
524240        AN-XI               CI 4030N 09600E 1177   
524360        YUMENZHEN           CI 4016N 09702E 1527   
524410        BEISHAN (MTNS)      CI 4043N 09837E 1554   
524460        SHUANGCHENGTZU      CI 4024N 09948E 1158   
524470        JINTA               CI 3949N 09854E 1372   
524950        BAYAN MOD           CI 4045N 10430E 1329   
525330 ZLJQ   JIUQUAN/SUZHOU      CI 3946N 09829E 1478   
525760        LAI-YEN-CH'IH       CI 3923N 10250E 1383   
526020        LENGHU              CI 3850N 09323E 2734   
526330        TUO-LE              CI 3848N 09825E 0609   
526450        YEH-NIU-KOU         CI 3828N 09933E 2169   
526520        ZHANGYE             CI 3856N 10026E 1483   
526570        BABAO               CI 3814N 10015E 2700   
526610        SHAN-DAN            CI 3848N 10105E 1760   
526740        JIN-CHANG           CI 3828N 10211E 1676   
526810        MINQIN              CI 3838N 10305E 1367   
527070        T'A-ERH-TING        CI 3704N 09252E 2712   
527130        DA-QAIDAM           CI 3751N 09522E 3174   
527370        DELINGHA            CI 3722N 09722E 2982   
527400        HSIN-YUAN           CI 3718N 09901E 3627   
527540        GANGCA/SHALIUHE     CI 3720N 10008E 3301   
527650        HAO-MEN             CI 3722N 10137E 2682   
527870        WUSHAOLING (PASS)   CI 3712N 10252E 3044   
527970        CHING-T'AI          CI 3708N 10413E 1402   
528180        GOLMUD              CI 3625N 09454E 2809   
528250        NUO-MU-HONG         CI 3627N 09628E 2804   
528330        SERH                CI 3657N 09821E 2987   
528360        DULAN/QAGAN US      CI 3618N 09806E 3192   
528420        CHA-KA              CI 3647N 09905E 2925   
528560        GONGHE              CI 3621N 10047E 2743   
528660 ZLXN   XINING              CI 3637N 10146E 2262   
528680        HEY-IN              CI 3602N 10126E 2072   
528760        MINHE               CI 3620N 10250E 1905   
528890        LANZHOU             CI 3603N 10353E 1518   
528950        JINGYUAN            CI 3635N 10441E 1505   
529080        WUDAOLIANG          CI 3513N 09305E 4613   
529410        NAME UNKNOWN        CI 3543N 09855E 3962   
529430        XINGHAI             CI 3545N 09959E 3200   
529570        TONGDE              CI 3516N 10039E 3290   
529680        SON-AG              CI 3502N 10128E 3565   
529740        BOGUS CHINESE       CI 0000N 00000E    
529840        LINXIA              CI 3528N 10259E 1920   
529860        LINTAO              CI 3520N 10400E 1905   
529960        HUAJIALING          CI 3523N 10500E 2450   
530680        ERENHOT             CI 4339N 11200E 0966   
530830        NARAN BULAG         CI 4437N 11409E 1183   
531490        MANDAL              CI 4232N 11008E 1223   
531920        ABAG QI/XIN HOT     CI 4401N 11457E 1128   
532310        HAILS               CI 4127N 10623E 1510   
532760        JURH                CI 4224N 11254E 1152   
532780        BOIN SUM            CI 4212N 11231E 1280   
533360        HALIUT              CI 4134N 10831E 1290   
533520        BAILING-MIAO        CI 4142N 11026E 1377   
533620        SHARA MORON SUME    CI 4202N 11132E 1372   
533910        HUADE               CI 4154N 11400E 1484   
534630 ZBHH   HOHHOT              CI 4049N 11141E 1065   
534780        YOU-YU              CI 4010N 11220E 1212   
534800        JINING              CI 4102N 11304E 1416   
534870        DATONG              CI 4006N 11320E 1069   
535020        JARTAI              CI 3947N 10545E 1033   
535130        LINHE               CI 4046N 10724E 1041   
535190        SHIZUISHAN/DAWUKOU  CI 3903N 10624E 0975   
535290        OTOG QI/ULAN        CI 3906N 10759E 1381   
535430        DONGSHENG           CI 3950N 10959E 1459   
535640        HEQU                CI 3923N 11109E 0861   
535880        WUTAI SHAN (MTN)    CI 3902N 11332E 2898   
535930        YU XIAN             CI 3950N 11434E 0910   
536020        ALXA ZUOQI/BAYAN HO CI 3850N 10532E 1500   
536140 ZLIC   YINCHUAN            CI 3829N 10613E 1112   
536150        YINCHUAN (CITY)     CI 3828N 10619E 1005   
536460        YULIN               CI 3814N 10942E 1058   
536640        XINXIAN             CI 3824N 11243E 0900   
536730        YUANPING            CI 3845N 11242E 0838   
536980        SHIJIAZHUANG        CI 3802N 11425E 0081   
537050        ZHONGNING           CI 3729N 10540E 1185   
537230        YANCHI              CI 3747N 10724E 1349   
537380        PIN-KOU-MEN         CI 3709N 10823E 1438   
537400        ZI-CHANG            CI 3708N 10939E 1189   
537540        SUIDE               CI 3728N 11015E 0900   
537640        LISHI               CI 3730N 11106E 0951   
537720 ZBYN   TAIYUAN/WUSU        CI 3747N 11233E 0779   
537820        YANGQUAN            CI 3749N 11334E 0908   
537870        YUSHE               CI 3704N 11259E 1042   
537980        XINGTAI             CI 3704N 11430E 0078   
538100        QI-YING             CI 3633N 10609E 1615   
538170        GUYUAN              CI 3601N 10617E 1676   
538210        HUNG-TE             CI 3646N 10712E 1322   
538450 ZLYA   YAN AN              CI 3636N 10930E 0959   
538530        XI-XIAN             CI 3642N 11056E 1006   
538630        JIEXIU              CI 3703N 11156E 0750   
538980        ANYANG/ZHANGDE      CI 3607N 11422E 0076   
539030        XI-JI               CI 3558N 10543E 1935   
539150        PINGLIANG           CI 3533N 10640E 1348   
539230        XIFENGZHEN          CI 3544N 10738E 1423   
539290        CHANG-WU            CI 3513N 10748E 1219   
539420        LUO-CHUAN           CI 3545N 10925E 1000   
539470        TONGCHUAN           CI 3510N 10903E 0914   
539590        YUNCHENG            CI 3502N 11101E 0376   
539750        YANGCHENG           CI 3529N 11224E 0659   
540010        TAI-LE-MIN-SU-MU    CI 4454N 11525E 1143   
540120        XI UJIMQIN QI       CI 4435N 11736E 0997   
540260        JARUD QI/LUBEI      CI 4434N 12054E 0266   
540270        LINDONG/BAIRIN ZUOQ CI 4359N 11924E 0485   
540410        KAITONG/TONGYU      CI 4448N 12305E 0152   
540490        CHANGLING           CI 4415N 12358E 0190   
540630        WU-CHAI-CHAN        CI 4458N 12541E 0240   
540940        MUDANJIANG          CI 4434N 12936E 0242   
540960        SUIFENHE            CI 4423N 13109E 0498   
541020        XILIN HOT/ABAGNAR   CI 4357N 11604E 0991   
541150        LINXI               CI 4336N 11804E 0800   
541340        KAILU               CI 4337N 12119E 0274   
541350        TONGLIAO            CI 4336N 12216E 0180   
541420        WO-HU-TUN           CI 4342N 12336E 0183   
541570        SIPING              CI 4311N 12420E 0165   
541610 ZYCC   CHANGCHUN           CI 4354N 12513E 0238   
541720        JILIN               CI 4351N 12633E 0188   
541860        DUNHUA              CI 4322N 12812E 0526   
541950        WANG-CH'ING         CI 4319N 12945E 0244   
542080        DUOLUN/DOLONNUR     CI 4211N 11628E 1247   
542130        WUDAN/ONGNIUD QI    CI 4258N 11902E 0634   
542180        CHIFENG/ULANHAD     CI 4216N 11858E 0572   
542260        BUGT                CI 4220N 12042E 0401   
542360        ZHANGWU             CI 4225N 12232E 0084   
542370        FUXIN               CI 4200N 12138E 0182   
542590        QINGYUAN            CI 4206N 12457E 0235   
542730        HUADIAN             CI 4259N 12645E 0264   
542840        FUSONG              CI 4220N 12717E 0610   
542850        LUSHUIHE            CI 4231N 12748E 0853   
542870        SONGJIANGHE         CI 4210N 12730E 0975   
542920        YANJI               CI 4253N 12928E 0178   
543080        FENGNING/DAGEZHEN   CI 4113N 11638E 0661   
543110        WEICHANG/ZHUIZISHAN CI 4156N 11745E 0844   
543240        CHAOYANG            CI 4133N 12027E 0176   
543260        CHAOYANG AIRFIELD   CI 4135N 12026E 0152   
543350        GOUBANGZI           CI 4123N 12148E 0025   
543370        JINZHOU             CI 4108N 12107E 0070   
543390        ANSHAN              CI 4108N 12259E 0017   
543420 ZYYY   SHENYANG/DONGTA     CI 4146N 12326E 0043   
543424 ZYTX   SHENYANG/TAOKIAN    CI 4148N 12324E 0035   
543460        BENXI               CI 4119N 12347E 0185   
543510        DA-HUO-FANG         CI 4153N 12405E 0273   
543630        TONGHUA             CI 4143N 12555E 0312   
543650        HUANREN             CI 4116N 12522E 0204   
543740        LINJIANG            CI 4143N 12655E 0333   
543770        JI'AN               CI 4106N 12609E 0179   
543860        CHANGBAI            CI 4121N 12810E 1018   
544010        ZHANGJIAKOU         CI 4047N 11453E 0726   
544050        HUAILAI/SHACHENG    CI 4024N 11530E 0538   
544230        CHENGDE             CI 4058N 11756E 0374   
544290        ZUNHUA              CI 4012N 11758E 0152   
544360        QINGLONG            CI 4024N 11857E 0228   
544540        SUIZHONG            CI 4021N 12021E 0018   
544710        YINGKOU             CI 4040N 12212E 0004   
544930        KUANDIAN            CI 4043N 12447E 0261   
544970        DANDONG             CI 4003N 12420E 0014   
545110 ZBAA   BEIJING/PEKING      CI 3956N 11617E 0055   
545180        BAXIAN              CI 3903N 11624E 0008   
545270        TIANJIN/TIENTSIN    CI 3906N 11710E 0005   
545273 ZBTJ   TIANJIN/ZHANGGUIZHU CI 3911N 11721E 0003   
545340        TANGSHAN            CI 3940N 11809E 0029   
545390        LETING              CI 3926N 11854E 0012   
545630        FUXIAN/WAFANGDIAN   CI 3938N 12159E 0017   
545870        HAIYANG ISLAND      CI 3903N 12313E 0010   
546020        BAODING             CI 3851N 11534E 0019   
546160        CANGZHOU            CI 3820N 11650E 0011   
546230        TANGGU              CI 3901N 11736E 0004   
546240        HUANGHUA            CI 3823N 11721E 0004   
546430        MOORED VESSEL       CI 3858N 11957E 0006   
546460        MOORED VESSEL       CI 3821N 11941E 0006   
546560        TUOJI ISLAND        CI 3810N 12047E 0059   
546620 ZYTL   DALIAN/DAIREN/LUDA  CI 3854N 12138E 0097   
547050        NANGONG             CI 3722N 11523E 0042   
547140        DEZHOU              CI 3726N 11619E 0022   
547150        LINGXIAN            CI 3720N 11634E 0019   
547250        HUIMIN              CI 3730N 11732E 0012   
547360        YONGAN              CI 3733N 11844E 0006   
547510        CHANG ISLAND        CI 3756N 12043E 0040   
547530        LONGKOU             CI 3737N 12019E 0005   
547740        WEIHAI              CI 3727N 12202E 0061   
547760        CHENGSHANTOU (CAPE) CI 3724N 12241E 0047   
548080        XINXIAN             CI 3602N 11535E 0047   
548230 ZSTN   JINAN/TSINAN        CI 3641N 11659E 0058   
548260        TAI SHAN (MTNS)     CI 3615N 11706E 1536   
548300        LIN-ZI              CI 3652N 11820E 0055   
548360        YIYUAN/NANMA        CI 3611N 11809E 0302   
548430        WEIFANG             CI 3642N 11905E 0051   
548520        LAIYANG             CI 3659N 12039E 0072   
548570 ZSQD   QINGDAO/TSINGTAO    CI 3604N 12020E 0077   
548630        HAIYANG             CI 3646N 12110E 0064   
549060        HEZE/CAOZHOU        CI 3515N 11526E 0051   
549090        DZNGTAO             CI 3504N 11534E 0049   
549160        YANZHOU             CI 3534N 11651E 0053   
549360        JUXIAN              CI 3533N 11845E 0109   
549380        LINYI               CI 3503N 11821E 0086   
549450        RIZHAO              CI 3523N 11932E 0015   
549520        FLASHING LIGHT      CI 3558N 12029E 0025   
552280        SHIQUANHE           CI 3230N 08005E 4279   
552480        LUMARINGBO          CI 3218N 08403E 4420   
552790        BAINGOIN            CI 3122N 09001E 4701   
552940        P'A-NA              CI 3216N 09140E 4724   
552990        NAGQU               CI 3129N 09204E 4508   
554370        T'U-KO-ERH-HO-KUNG  CI 3033N 08126E 4736   
554720        XAINZA              CI 3057N 08838E 4671   
554930        ZHA-TE-KE-TANG      CI 3044N 09227E 4724   
555690        LHAZE               CI 2904N 08741E 4237   
555780        XIGAZE              CI 2915N 08853E 3837   
555850        BOGUS CHINESE       CI 0000N 00000E    
555910 ZULS   LHASA               CI 2940N 09108E 3650   
555980        NEDONG              CI 2914N 09146E 3657   
556640        TINGRI/XEGAR        CI 2838N 08705E 4302   
556800        GYANGZE             CI 2900N 08938E 3657   
556900        CHE-KU              CI 2842N 09138E 4336   
556960        LHUNZE              CI 2825N 09228E 3861   
557730        PAGRI               CI 2744N 08905E 4301   
560040        TUOTUOHE/TANGGULASH CI 3413N 09226E 4535   
560160        BIE-LI-XI-DU        CI 3406N 09502E 4785   
560180        ZADOI               CI 3254N 09518E 4068   
560210        QUMARLEB            CI 3408N 09547E 4176   
560290        YUSHU               CI 3301N 09701E 3682   
560330        MADOI/HUANGHEYAN    CI 3455N 09813E 4273   
560340        QINGSHUI-HE         CI 3348N 09708E 4419   
560380        SHIQU               CI 3259N 09806E 4114   
560410        UNKNOWN             CI 3430N 09853E 4175   
560430        BOGUS CHINESE       CI 0000N 00000E    
560460        DARLAG              CI 3345N 09939E 3968   
560650        HENAN               CI 3444N 10136E 3500   
560670        JIGZHI              CI 3328N 10129E 3350   
560740        GA-HAI              CI 3412N 10218E 3109   
560790        RUO'ERGAI           CI 3335N 10258E 3441   
560800        HEZUO               CI 3500N 10254E 2910   
560930        WU-SHAN             CI 3443N 10453E 1371   
560960        WUDU                CI 3324N 10455E 1079   
561060        SOG XIAN            CI 3153N 09347E 4024   
561160        DENGQEN             CI 3125N 09536E 3874   
561250        NANGQEN             CI 3215N 09613E 4145   
561370        QAMDO               CI 3109N 09710E 3307   
561440        DEGE                CI 3144N 09834E 3204   
561460        GARZE               CI 3137N 10000E 3394   
561510        LUO-XUE             CI 3234N 10035E 3505   
561520        SERTAR              CI 3217N 10020E 3896   
561670        DAWU                CI 3059N 10107E 2959   
561720        BARKAM              CI 3154N 10214E 2666   
561730        MA-TANG             CI 3151N 10242E 3422   
561780        XIAO-JIN            CI 3101N 10222E 2426   
561820        SONGPAN/SUNGQU      CI 3239N 10334E 2852   
561880        WENCHUAN            CI 3129N 10335E 2042   
561930        PINGWU              CI 3225N 10431E 0877   
561960        MIANYANG            CI 3128N 10441E 0472   
562020        JIA-LI              CI 3047N 09324E 4876   
